,Id,Store,tags
0,1,HM,teenage adult male female casual funky branded 1500 4
1,2,Raymond,adult senior male formal coat blazer pant shirt branded 2000 5
2,3,First Cry,children male female childwear short dress frock branded 1000 5
3,4,Manyawar,teenage adult senior male kurta ethnicwear branded 1200 4
4,5,Blackberry,teenage adult male formal coat blazer pant shirt branded 2500 3
5,6,Jockey,teenage adult male innerwear funky branded 900 5
6,7,Pantaloons,teenage adult senior male female casual formal pant top tshirt jeans comfortwear branded 900 4
7,8,Gupta Shop,adult senior female suit saree kurti ethnic nonbranded 800 3
8,9,Biba,teenage adult female suit saree kurti ethnic top jeans branded 1200 4
9,10,Van Hussen,adult senior male formal coat blazer pant shirt branded 2500 4
10,11,Nayyar,children teenage adult senior male female childwear frock casual formal pant top tshirt jeans comfortwear branded 1300 3
11,12,Zara,teenage adult female suit saree kurti ethnicwear top jeans branded 1200 5
12,13,V Mart,children teenage adult senior male female innerwear childwear frock casual formal pant top tshirt jeans comfortwear kurti suit nonbranded 700 5
13,14,V Kart,children teenage adult senior male female innerwear childwear frock casual formal pant top tshirt jeans comfortwear suit nonbranded 600 4
14,15,Trends,children teenage adult senior male female innerwear childwear frock casual formal pant top tshirt jeans comfortwear nonbranded 800 5
15,16,Bengali Cloth Shop,adult senior female saree kurti suit nonbranded 700 5
16,17,A to Z,children male female childwear short-dress frock branded 800 3
17,18,Mini Klub,children male female childwear short dress frock top funky nonbranded 600 4
18,19,Roadster,teenage male casual tshirt jeans comfortwear shirt funky nonbranded 600 5
19,20,Bonzy,teenage male female casual tshirt jeans comfortwear shirt funky top kurti nonbranded 700 4
20,21,Abstract,teenage male female casual tshirt jeans shirt pant funky top kurti nonbranded 500 4
21,22,Delhi Wear,teenage adult male female casual tshirt jeans shirt pant top kurti suit nonbranded 800 5
22,23,Quirk,children teenage male female childwear short dress frock casual pant top tshirt jeans funky nonbranded 900 3
23,24,Anokhi,senior male female casual tshirt comfortwear saree suit nonbranded 600 5
24,25,Post Fold,senior male female kurta tshirt comfortwear saree suit nonbranded 800 4
